

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
110.764  000.083  000.083: require('telescope.debounce')
110.926  000.158  000.158: require('telescope.mappings')
111.026  000.094  000.094: require('telescope.pickers.highlights')
111.111  000.082  000.082: require('telescope.pickers.window')
111.288  000.088  000.088: require('telescope.algos.linked_list')
111.292  000.178  000.089: require('telescope.entry_manager')
111.373  000.079  000.079: require('telescope.pickers.multi')
111.392  001.627  000.189: require('telescope.pickers')
111.493  000.099  000.099: require('telescope.themes')
112.055  000.160  000.160: require('telescope.make_entry')
112.143  000.085  000.085: require('telescope.finders.async_static_finder')
112.395  000.077  000.077: require('plenary.class')
112.406  000.174  000.097: require('telescope._')
112.409  000.260  000.086: require('telescope.finders.async_oneshot_finder')
112.541  000.089  000.089: require('telescope.finders.async_job_finder')
112.546  000.737  000.143: require('telescope.finders')
112.557  000.856  000.119: require('telescope.builtin.__lsp')
112.580  000.988  000.132: require('telescope.builtin')
112.774  000.100  000.100: require('telescope._extensions.project.utils')
112.883  000.106  000.106: require('plenary.iterators')
112.887  000.302  000.097: require('telescope._extensions.project.git')
112.946  001.449  000.159: require('telescope._extensions.project.actions')
113.041  000.092  000.092: require('telescope._extensions.project.finders')
113.046  003.376  000.108: require('telescope._extensions.project.main')
113.154  003.577  000.201: require('telescope._extensions.project')
147.708  000.103  000.103: require('telescope._extensions.file_browser.utils')
147.754  000.284  000.182: require('telescope._extensions.file_browser.actions')
147.964  000.110  000.110: require('telescope._extensions.file_browser.make_entry')
148.006  000.249  000.140: require('telescope._extensions.file_browser.finders')
148.101  000.092  000.092: require('telescope._extensions.file_browser.picker')
148.207  000.103  000.103: require('telescope._extensions.file_browser.config')
148.209  000.872  000.144: require('telescope._extensions.file_browser')
149.024  000.084  000.084: require('refactoring.point')
149.029  000.189  000.105: require('refactoring.region')
149.035  000.281  000.092: require('refactoring.utils')
149.120  000.083  000.083: require('refactoring.pipeline')
149.204  000.081  000.081: require('refactoring.tasks.selection_setup')
149.301  000.092  000.092: require('refactoring.tasks.ensure_code_gen')
149.383  000.080  000.080: require('refactoring.code_generation.utils')
149.803  000.078  000.078: require('refactoring.code_generation.indent')
149.808  000.171  000.093: require('refactoring.code_generation.langs.typescript')
149.809  000.251  000.079: require('refactoring.code_generation.langs.javascript')
149.900  000.088  000.088: require('refactoring.code_generation.langs.lua')
149.996  000.093  000.093: require('refactoring.code_generation.langs.go')
150.088  000.089  000.089: require('refactoring.code_generation.langs.cpp')
150.182  000.092  000.092: require('refactoring.code_generation.langs.c')
150.277  000.092  000.092: require('refactoring.code_generation.langs.python')
150.365  000.085  000.085: require('refactoring.code_generation.langs.php')
150.473  000.105  000.105: require('refactoring.code_generation.langs.java')
150.563  000.087  000.087: require('refactoring.code_generation.langs.ruby')
150.567  001.088  000.107: require('refactoring.code_generation')
150.570  001.183  000.095: require('refactoring.lsp_utils')
150.750  000.099  000.099: require('refactoring.config')
150.837  000.084  000.084: require('refactoring.query')
151.027  000.101  000.101: require('refactoring.treesitter.treesitter')
151.214  000.083  000.083: require('refactoring.treesitter.nodes')
151.217  000.174  000.091: require('refactoring.treesitter.langs.typescript')
151.323  000.105  000.105: require('refactoring.treesitter.langs.cpp')
151.414  000.088  000.088: require('refactoring.treesitter.langs.c')
151.515  000.097  000.097: require('refactoring.treesitter.langs.go')
151.603  000.086  000.086: require('refactoring.treesitter.langs.lua')
151.691  000.084  000.084: require('refactoring.treesitter.langs.python')
151.776  000.083  000.083: require('refactoring.treesitter.langs.javascript')
151.862  000.083  000.083: require('refactoring.treesitter.langs.php')
151.951  000.084  000.084: require('refactoring.treesitter.langs.java')
152.037  000.083  000.083: require('refactoring.treesitter.langs.ruby')
152.042  001.202  000.134: require('refactoring.treesitter')
152.044  001.472  000.087: require('refactoring.tasks.refactor_setup')
152.124  000.077  000.077: require('refactoring.get_input')
152.203  000.077  000.077: require('refactoring.tasks.create_file')
152.357  000.074  000.074: require('refactoring.tasks.format')
152.452  000.092  000.092: require('refactoring.tasks.adjust_cursor')
152.564  000.084  000.084: require('refactoring.tasks.apply_text_edits')
152.567  000.361  000.111: require('refactoring.tasks.post_refactor')
152.572  003.931  000.145: require('refactoring.refactor.106')
152.665  000.091  000.091: require('refactoring.refactor.119')
